RiceFlour 1,RiceFlour 2
0.97,0.99
0.985,0.99
0.985,0.97
0.98,0.975
0.99,0.99
0.99,0.995
1,0.999
1,0.999
1,0.996
1,0.999
1.01,0.995
1.01,0.997
0.975,0.98
0.99,0.995
1.02,1.02
0.995,1.005
0.995,1.004
1.005,1.004
1.005,1.01
0.998,0.987
1.001,0.987
0.999,0.999
