Time 0200,Time 0500,Time 0800,Time 1100,Time 1400,Time 1700,Time 2000,Time 2300
28.6,27.6,26.7,25.5,24.8,27.4,27.8,27.4
28.5,27.4,26.6,25.3,24.7,27.2,27.8,27.3
29.1,28,27.1,25.9,25.2,27.7,28.4,27.8
28.1,27.1,26.2,25,24.3,26.7,27.5,26.9
28.8,27.7,26.9,25.6,25,27.3,28.4,27.6
28.8,27.7,26.9,25.6,25,27.1,28.5,27.6
29,27.9,27.1,25.8,25.2,27.3,28.7,27.8
28.8,27.7,26.9,25.6,25,27.3,28.3,27.6
29,27.9,27.1,25.8,25.2,27.7,28.4,27.8
28.9,27.8,26.9,25.7,25,27.6,28.1,27.7
28.8,27.7,26.9,25.6,25,27.5,28.1,27.6
28.8,27.7,26.9,25.6,25,27.5,28.1,27.6
29.1,28,27.2,25.9,25.3,27.8,28.4,27.9
28.5,27.4,26.6,25.3,24.7,27.2,27.8,27.3
28.8,27.7,26.9,25.6,25,27.5,28.1,27.6
28.6,27.5,26.7,25.4,24.9,27.2,28.1,27.4
28.3,27.2,26.3,25.1,24.5,26.6,27.9,27.1
28.8,27.7,26.9,25.6,25,27.1,28.5,27.6
28.3,27.2,26.4,25.1,24.5,26.6,28,27.1
28.1,27,26.2,24.9,24.3,26.5,27.7,26.9
28.7,27.6,26.8,25.5,24.9,27.4,28.1,27.5
28.9,27.8,26.9,25.7,25.1,27.5,28.2,27.6
28.8,27.7,26.9,25.6,25,27.5,28.1,27.5
29.1,28,27.2,25.9,25.3,27.8,28.4,27.9
29,27.9,27,25.8,25.1,27.7,28.2,27.8
28.8,27.7,26.9,25.6,25,27.5,28.1,27.6
29,27.9,27.1,25.8,25.2,27.6,28.3,27.8
28.3,27.2,26.4,25.1,24.5,26.8,27.8,27.1
28,26.9,26.1,24.8,24.2,26.2,27.7,26.7
27.5,26.4,25.6,24.3,23.7,25.7,27.3,26.3
28.5,27.4,26.6,25.3,24.7,26.6,28.4,27.3
28.8,27.7,26.9,25.6,25,27,28.6,27.6
28.6,27.5,26.7,25.4,24.8,27.1,28,27.4
28.3,27.2,26.5,25.1,24.5,27,27.7,27.1
29,27.9,27.2,25.8,25.2,27.7,28.4,27.8
29.3,28.2,27.4,26.1,25.5,27.9,28.8,28.1
29.2,28.1,27.2,26,25.4,27.8,28.5,27.9
28.7,27.6,26.9,25.6,24.9,27.4,28.1,27.5
28.8,27.7,26.9,25.6,25.1,27.4,28.3,27.6
28.7,27.6,26.8,25.5,24.9,27.1,28.3,27.5
28.9,27.7,27,25.6,25.1,27,28.7,27.6
28,26.9,26.1,24.8,24.2,26,28,26.8
27.8,26.7,25.9,24.6,24.1,25.7,28,26.6
28.4,27.3,26.5,25.2,24.6,26.7,28.1,27.1
28.7,27.6,26.8,25.5,24.9,27.3,28.1,27.4
28.7,27.6,26.7,25.4,24.9,27.3,28,27.4
28.6,27.5,26.6,25.4,24.8,27.3,27.8,27.3
28.7,27.6,26.8,25.4,24.9,27.3,28,27.4
28.4,27.3,26.5,25.2,24.6,27.1,27.7,27.2
28.7,27.6,26.8,25.5,24.9,27.3,28.1,27.5
28.6,27.5,26.7,25.4,24.8,27,28.2,27.3
27.9,26.8,26,24.7,24.2,26.2,27.7,26.7
27.6,26.5,25.8,24.4,23.9,25.7,27.6,26.4
29.6,28.5,27.7,26.3,25.8,27.6,29.6,28.3
29.1,28,27.2,25.9,25.4,27.1,29.2,27.9
28.6,27.5,26.7,25.4,24.8,26.9,28.3,27.4
28.8,27.6,26.8,25.5,25,27.3,28.2,27.5
28.9,27.8,27,25.7,25.1,27.6,28.2,27.7
28.7,27.6,26.8,25.5,24.9,27.4,28,27.4
28.5,27.3,26.6,25.3,24.7,27.1,27.9,27.2
28.7,27.6,26.8,25.5,25,27.4,28.1,27.5
28.9,27.7,27,25.7,25.1,27.4,28.3,27.6
28.5,27.4,26.6,25.3,24.7,26.9,28,27.2
28.6,27.5,26.7,25.4,24.9,27,28.3,27.4
28.8,27.6,26.9,25.6,25,26.9,28.7,27.5
27.9,26.8,26,24.7,24.1,25.9,27.9,26.6
28.3,27.2,26.4,25.1,24.5,26.3,28.3,27.1
28.4,27.3,26.5,25.2,24.7,26.8,28.1,27.2
28.5,27.4,26.5,25.2,24.7,27.1,27.9,27.2
28.4,27.3,26.5,25.2,24.7,27,27.9,27.2
29.2,28.1,27.3,26,25.4,27.9,28.5,28
29.1,28,27.2,25.9,25.3,27.7,28.5,27.9
29.1,27.9,27.2,25.9,25.3,27.7,28.4,27.8
28.6,27.5,26.7,25.4,24.8,27.2,28,27.4
28.1,26.9,26.2,24.8,24.3,26.5,27.6,26.8
28.2,27.1,26.2,25,24.4,26.6,27.7,26.9
28,26.9,26.1,24.8,24.2,26.2,27.8,26.7
29.1,28,27.2,25.9,25.3,27.1,29.1,27.9
28,26.9,26.1,24.8,24.3,25.8,28.3,26.8
27.9,26.8,26,24.6,24.1,26.1,27.6,26.6
28.7,27.5,26.7,25.5,24.9,27.2,28.1,27.4
28.9,27.8,27,25.7,25.1,27.6,28.3,27.7
28.9,27.8,27,25.7,25.1,27.6,28.2,27.7
29.1,27.9,27.2,25.8,25.3,27.7,28.5,27.8
28.8,27.6,26.8,25.6,25,27.4,28.1,27.5
29.3,28.2,27.4,26.1,25.5,27.9,28.7,28
28.7,27.6,26.9,25.5,25,27.1,28.4,27.5
29,27.8,27.1,25.8,25.2,27.3,28.7,27.7
28.6,27.4,26.7,25.4,24.8,26.7,28.4,27.3
29.3,28.2,27.4,26.1,25.5,27.4,29.3,28.1
28.9,27.8,27,25.6,25.1,26.9,28.8,27.6
28.4,27.2,26.5,25.2,24.6,26.7,28,27.1
28.7,27.6,26.8,25.5,24.9,27.3,28.1,27.4
28.2,27.1,26.3,25,24.4,26.8,27.6,27
29.4,28.3,27.5,26.2,25.6,28.1,28.8,28.2
29.1,27.9,27.2,25.9,25.3,27.7,28.5,27.8
28.8,27.6,26.9,25.6,25,27.4,28.1,27.5
29,27.8,27.1,25.8,25.1,27.5,28.4,27.7
28.4,27.2,26.5,25.2,24.5,26.8,28,27.1
28.7,27.5,26.8,25.5,24.9,27,28.4,27.4
28.8,27.6,26.9,25.6,25,26.9,28.7,27.5
28.7,27.5,26.8,25.4,24.9,26.7,28.6,27.4
29.5,28.3,27.6,26.2,25.7,27.3,29.6,28.2
27.8,26.7,25.9,24.6,24,26.1,27.6,26.6
28.6,27.5,26.7,25.4,24.8,27.2,28,27.4
28.2,27.1,26.3,25,24.4,26.8,27.6,27
28.7,27.6,26.8,25.5,24.9,27.4,28.1,27.5
28.8,27.7,27,25.6,25,27.5,28.2,27.6
28.9,27.8,27.1,25.7,25.2,27.6,28.3,27.7
29,27.8,27.1,25.7,25.2,27.5,28.4,27.7
28.8,27.7,27,25.6,25,27.2,28.4,27.6
28.7,27.5,26.8,25.5,24.9,27,28.4,27.4
28.2,27.1,26.3,25,24.4,26.4,28,27
28.2,27,26.3,24.9,24.4,26,28.3,26.9
28.4,27.2,26.5,25.2,24.6,26.1,28.7,27.1
28.9,27.8,27,25.7,25.1,27.1,28.8,27.7
28.7,27.6,26.8,25.5,24.9,27.3,28.1,27.5
29.2,28.1,27.3,26,25.4,27.8,28.6,27.9
29.4,28.2,27.5,26.2,25.5,28,28.7,28.1
29.7,28.6,27.8,26.5,25.9,28.3,29.1,28.5
29.2,28,27.3,26,25.4,27.9,28.6,28
28.8,27.7,26.9,25.6,25,27.4,28.2,27.6
28.7,27.6,26.8,25.5,24.9,27.2,28.2,27.5
28.2,27.1,26.3,25,24.4,26.6,27.8,27
29.1,27.9,27.2,25.9,25.3,27.3,28.9,27.9
28.9,27.7,27,25.7,25.1,26.8,28.9,27.6
29.7,28.6,27.8,26.5,25.9,27.8,29.6,28.4
28.3,27.2,26.4,25.1,24.5,26.8,27.9,27.1
28.8,27.7,26.9,25.6,25,27.5,28.2,27.6
29,27.9,27,25.8,25.1,27.7,28.3,27.7
28.8,27.7,26.9,25.6,25,27.6,28.1,27.6
29,27.9,27.1,25.9,25.2,27.7,28.3,27.8
29.2,28.1,27.3,26,25.4,27.9,28.5,28
28.9,27.8,27,25.7,25.1,27.6,28.2,27.7
28.5,27.4,26.6,25.3,24.7,27.1,28,27.3
28.6,27.5,26.7,25.4,24.8,27.1,28.1,27.4
28.7,27.6,26.8,25.5,24.9,27,28.4,27.4
29.1,28,27.2,25.9,25.3,27.3,28.8,27.8
28.4,27.3,26.5,25.2,24.6,26.7,28.1,27.2
28.6,27.5,26.7,25.4,24.8,27.1,28,27.4
28.8,27.7,26.9,25.6,25,27.5,28.1,27.6
29.1,28,27.2,25.9,25.3,27.8,28.4,27.9
29.1,28,27.1,25.9,25.3,27.8,28.3,27.9
29.2,28.1,27.3,26,25.4,27.9,28.4,28
28.8,27.7,26.9,25.6,25,27.6,28.1,27.6
28.9,27.8,26.9,25.7,25,27.5,28.2,27.6
28.7,27.5,26.8,25.5,24.9,27.2,28.2,27.4
29,27.9,27.1,25.8,25.2,27.6,28.4,27.8
27.9,26.8,26,24.7,24.1,26.2,27.7,26.7
28.2,27.1,26.3,25,24.4,26.3,28.1,27
28,26.9,26.1,24.8,24.3,26.1,28,26.8
29.1,28,27.2,25.9,25.3,27.4,28.7,27.8
29,27.9,27.1,25.8,25.2,27.7,28.4,27.8
28.7,27.6,26.8,25.5,24.9,27.4,28,27.5
28.8,27.8,26.9,25.7,25,27.6,28.1,27.6
29.1,28.1,27.2,26,25.3,27.8,28.4,28
28.9,27.8,27,25.7,25.1,27.7,28.2,27.7
28.5,27.4,26.5,25.3,24.6,27.1,27.8,27.3
28.5,27.4,26.7,25.3,24.8,27.1,28,27.3
28.1,27,26.2,24.9,24.3,26.5,27.6,26.8
28.2,27,26.2,25,24.4,26.5,27.8,26.9
28.7,27.5,26.8,25.5,24.9,26.9,28.5,27.4
28.4,27.3,26.5,25.2,24.6,26.7,28.2,27.2
28.4,27.3,26.5,25.2,24.6,26.9,28,27.2
29,27.9,27.1,25.8,25.2,27.7,28.3,27.8
29.2,28,27.3,26,25.3,27.9,28.5,27.9
29,27.9,27.1,25.8,25.2,27.8,28.2,27.8
29.1,28,27.1,25.9,25.2,27.8,28.3,27.9
29.2,28.1,27.3,26,25.4,27.9,28.4,28
29.1,28,27.2,25.9,25.3,27.8,28.4,27.9
28.9,27.8,27,25.7,25.1,27.5,28.2,27.7
28.5,27.4,26.6,25.4,24.7,27.1,27.9,27.3
28.4,27.3,26.5,25.2,24.6,26.8,28,27.2
29,27.9,27.1,25.8,25.2,27.3,28.7,27.8
28.5,27.3,26.6,25.3,24.6,26.6,28.3,27.2
28.6,27.5,26.7,25.4,24.8,27.1,28.1,27.4
28.3,27.2,26.4,25.1,24.5,26.9,27.7,27.1
28.5,27.4,26.5,25.3,24.6,27.2,27.7,27.3
28.8,27.8,26.9,25.7,25,27.6,28.1,27.6
28.9,27.8,27,25.8,25.1,27.6,28.2,27.7
28.9,27.8,27,25.8,25.1,27.7,28.2,27.7
28.7,27.6,26.9,25.6,24.9,27.5,28,27.5
28.7,27.6,26.8,25.5,24.8,27.3,28,27.5
28.5,27.4,26.6,25.3,24.7,27.1,28,27.3
29,27.9,27.1,25.8,25.2,27.4,28.6,27.8
29.5,28.4,27.6,26.3,25.7,27.6,29.3,28.3
28.7,27.6,26.8,25.5,24.9,27,28.3,27.5
28.3,27.2,26.4,25.2,24.5,26.8,27.8,27.1
28.5,27.4,26.6,25.3,24.7,27.2,27.8,27.3
28.6,27.5,26.7,25.5,24.8,27.3,27.9,27.4
28.9,27.8,26.9,25.7,25,27.6,28.1,27.7
28.9,27.8,27,25.7,25,27.6,28.1,27.7
28.7,27.6,26.8,25.5,24.9,27.5,27.9,27.5
29,27.9,27.1,25.9,25.2,27.8,28.3,27.8
28.7,27.6,26.8,25.5,24.9,27.4,28,27.5
28.4,27.3,26.5,25.3,24.6,27,27.8,27.2
28.5,27.4,26.6,25.4,24.7,27,28.1,27.3
28.1,27,26.2,24.9,24.3,26.4,27.7,26.9
27.9,26.8,26,24.8,24.1,26.2,27.7,26.7
28.1,27,26.2,25,24.3,26.7,27.5,26.9
28.4,27.2,26.4,25.2,24.5,27,27.7,27.2
28.9,27.8,27,25.7,25,27.6,28.1,27.7
28.9,27.8,27,25.8,25.1,27.7,28.1,27.8
28.8,27.7,26.9,25.7,25,27.6,28,27.6
28.9,27.8,27,25.8,25.1,27.7,28.1,27.7
28.7,27.5,26.8,25.5,24.8,27.4,27.9,27.5
28.6,27.5,26.7,25.5,24.8,27.3,27.9,27.4
28.2,27.1,26.3,25,24.4,26.8,27.6,27
28.4,27.3,26.5,25.2,24.6,26.9,27.9,27.2
28.7,27.5,26.8,25.5,24.8,27,28.3,27.4
28.7,27.6,26.9,25.6,24.9,27.2,28.3,27.6
28.5,27.4,26.6,25.3,24.7,27,28,27.3
28.7,27.6,26.8,25.6,24.9,27.4,28.1,27.5
28.3,27.2,26.4,25.2,24.5,27.1,27.6,27.2
29,27.9,27.1,25.9,25.2,27.8,28.2,27.8
29.2,28.1,27.3,26,25.3,28,28.4,28
29,27.9,27.1,25.9,25.2,27.8,28.2,27.8
28.8,27.7,26.9,25.6,24.9,27.5,28,27.6
28.6,27.4,26.7,25.4,24.7,27.3,27.9,27.4
28.3,27.2,26.4,25.2,24.5,27,27.7,27.1
28,26.9,26.1,24.9,24.2,26.5,27.6,26.8
28.7,27.6,26.8,25.5,24.9,27,28.4,27.5
29.1,28,27.2,25.9,25.2,27.5,28.7,27.9
28.5,27.4,26.6,25.4,24.7,27.1,28,27.3
28.5,27.4,26.6,25.4,24.7,27.2,27.9,27.3
28.6,27.5,26.7,25.5,24.8,27.4,27.9,27.5
29.1,28,27.2,26,25.3,27.9,28.4,28
29.3,28.2,27.3,26.1,25.4,28,28.5,28.1
29.4,28.3,27.5,26.2,25.5,28.1,28.6,28.2
29.1,28,27.2,26,25.3,27.9,28.4,27.9
29,27.9,27.1,25.8,25.2,27.7,28.3,27.8
29.3,28.2,27.4,26.1,25.4,27.9,28.6,28.1
29.4,28.3,27.5,26.2,25.6,27.9,28.9,28.2
29.1,28,27.2,26,25.3,27.5,28.7,27.9
29.6,28.5,27.7,26.4,25.7,28,29.1,28.4
29.6,28.4,27.7,26.4,25.7,28.1,29,28.4
29.6,28.5,27.6,26.4,25.7,28.2,28.9,28.4
29.1,27.9,27.1,25.9,25.2,27.8,28.3,27.9
29.4,28.3,27.5,26.3,25.6,28.2,28.6,28.2
29.1,28,27.2,25.9,25.2,27.9,28.3,27.9
29.2,28.1,27.3,26.1,25.4,28.1,28.4,28
29.2,28.1,27.3,26.1,25.4,28,28.5,28.1
29,27.9,27,25.8,25.1,27.7,28.3,27.8
28.9,27.8,27,25.7,25,27.5,28.2,27.7
28.6,27.5,26.7,25.5,24.7,27.1,28.1,27.4
28.8,27.7,27,25.7,25,27.1,28.6,27.7
28.9,27.8,27,25.8,25.1,27.4,28.5,27.8
29,27.8,27,25.8,25.1,27.5,28.4,27.8
28.8,27.7,26.9,25.7,24.9,27.5,28.1,27.6
29,27.8,27,25.8,25.1,27.7,28.2,27.8
28.8,27.7,26.9,25.7,24.9,27.6,28,27.6
28.8,27.7,26.9,25.7,24.9,27.6,28,27.6
28.8,27.7,26.9,25.7,24.9,27.6,28,27.6
28.8,27.7,26.9,25.6,24.9,27.5,28,27.6
29,27.9,27.1,25.9,25.1,27.7,28.3,27.9
28.4,27.3,26.5,25.3,24.5,27,27.7,27.2
28.3,27.1,26.3,25.1,24.4,26.7,27.8,27.1
29.1,28,27.2,26,25.3,27.5,28.8,27.9
28.7,27.6,26.8,25.6,24.9,27.2,28.2,27.6
28.8,27.7,26.9,25.7,24.9,27.4,28.2,27.6
28.9,27.8,27,25.8,25,27.6,28.2,27.7
28.8,27.7,26.9,25.7,25,27.6,28.1,27.7
